dataframe_index,original_url,generated_filename,download_status,error_message
205,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141790%2Fsmall&type=IMAGE,image_49.jpg,Downloaded,
206,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141789%2Fsmall&type=IMAGE,image_50.jpg,Downloaded,
207,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141788%2Fsmall&type=IMAGE,image_51.jpg,Downloaded,
208,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141787%2Fsmall&type=IMAGE,image_52.jpg,Downloaded,
209,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141786%2Fsmall&type=IMAGE,image_53.jpg,Downloaded,
210,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141785%2Fsmall&type=IMAGE,image_54.jpg,Downloaded,
211,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141784%2Fsmall&type=IMAGE,image_55.jpg,Downloaded,
212,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141783%2Fsmall&type=IMAGE,image_56.jpg,Downloaded,
213,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141782%2Fsmall&type=IMAGE,image_57.jpg,Downloaded,
214,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141781%2Fsmall&type=IMAGE,image_58.jpg,Downloaded,
215,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141780%2Fsmall&type=IMAGE,image_59.jpg,Downloaded,
216,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141779%2Fsmall&type=IMAGE,image_60.jpg,Downloaded,
217,,,Skipped (Invalid URL),Empty or invalid URL found.
218,,,Skipped (Invalid URL),Empty or invalid URL found.
219,,,Skipped (Invalid URL),Empty or invalid URL found.
220,,,Skipped (Invalid URL),Empty or invalid URL found.
